input_cell_line_name,input_identifier,detected_type,status,SIDM,matched_on,source,CVCL,RRID,ACH,all_aliases
KP-1N,SIDM00583,sidm,resolved,SIDM00583,sidm,sanger,,,,KP1N; SIDM00583
KP-2,SIDM00582,sidm,resolved,SIDM00582,sidm,sanger,,,,KP2; SIDM00582
KP-3,SIDM00571,sidm,resolved,SIDM00571,sidm,sanger,,,,KP3; SIDM00571
KP-4,SIDM00301,sidm,resolved,SIDM00301,sidm,sanger,,,,KP4; SIDM00301
KP-N-YN,SIDM00556,sidm,resolved,SIDM00556,sidm,sanger,,,,KPNYN; SIDM00556
KS-1,SIDM00555,sidm,resolved,SIDM00555,sidm,sanger,,,,KS1; SIDM00555
KU-19-19,SIDM01033,sidm,resolved,SIDM01033,sidm,sanger,,,,KU1919; SIDM01033
KU812,SIDM00308,sidm,resolved,SIDM00308,sidm,sanger,,,,KU812; SIDM00308
KURAMOCHI,SIDM00554,sidm,resolved,SIDM00554,sidm,sanger,,,,KURAMOCHI; SIDM00554
KY821,SIDM00553,sidm,resolved,SIDM00553,sidm,sanger,,,,KY821; SIDM00553
KYAE-1,SIDM00530,sidm,resolved,SIDM00530,sidm,sanger,,,,KYAE1; SIDM00530
KYM-1,SIDM00552,sidm,resolved,SIDM00552,sidm,sanger,,,,KYM1; SIDM00552
KYSE-140,SIDM01032,sidm,resolved,SIDM01032,sidm,sanger,,,,KYSE140; SIDM01032
KYSE-150,SIDM01031,sidm,resolved,SIDM01031,sidm,sanger,,,,KYSE150; SIDM01031
KYSE-180,SIDM01030,sidm,resolved,SIDM01030,sidm,sanger,,,,KYSE180; SIDM01030
KYSE-220,SIDM00551,sidm,resolved,SIDM00551,sidm,sanger,,,,KYSE220; SIDM00551
KYSE-270,SIDM01029,sidm,resolved,SIDM01029,sidm,sanger,,,,KYSE270; SIDM01029
KYSE-410,SIDM01028,sidm,resolved,SIDM01028,sidm,sanger,,,,KYSE410; SIDM01028
KYSE-450,SIDM01027,sidm,resolved,SIDM01027,sidm,sanger,,,,KYSE450; SIDM01027
KYSE-50,SIDM00550,sidm,resolved,SIDM00550,sidm,sanger,,,,KYSE50; SIDM00550
KYSE-520,SIDM01025,sidm,resolved,SIDM01025,sidm,sanger,,,,KYSE520; SIDM01025
KYSE-70,SIDM01024,sidm,resolved,SIDM01024,sidm,sanger,,,,KYSE70; SIDM01024
