input_cell_line_name,input_identifier,detected_type,status,SIDM,matched_on,source,CVCL,RRID,ACH,all_aliases
CESS,SIDM00917,sidm,resolved,SIDM00917,sidm,sanger,,,,CESS; SIDM00917
CFPAC-1,SIDM00130,sidm,resolved,SIDM00130,sidm,sanger,,,,CFPAC1; SIDM00130
CGTH-W-1,SIDM01248,sidm,resolved,SIDM01248,sidm,sanger,,,,CGTHW1; SIDM01248
CHL-1,SIDM01228,sidm,resolved,SIDM01228,sidm,sanger,,,,CHL1; SIDM01228
CHP-134,SIDM00285,sidm,resolved,SIDM00285,sidm,sanger,,,,CHP134; SIDM00285
CHP-212,SIDM00910,sidm,resolved,SIDM00910,sidm,sanger,,,,CHP212; SIDM00910
CHSA8926,SIDM00176,sidm,resolved,SIDM00176,sidm,sanger,,,,CHSA8926; SIDM00176
CL-11,SIDM00944,sidm,resolved,SIDM00944,sidm,sanger,,,,CL11; SIDM00944
CL-40,SIDM00960,sidm,resolved,SIDM00960,sidm,sanger,,,,CL40; SIDM00960
CML-T1,SIDM00958,sidm,resolved,SIDM00958,sidm,sanger,,,,CMLT1; SIDM00958
COLO-205,SIDM00826,sidm,resolved,SIDM00826,sidm,sanger,,,,COLO205; SIDM00826
COLO-320-HSR,SIDM00842,sidm,resolved,SIDM00842,sidm,sanger,,,,COLO320HSR; SIDM00842
COLO-668,SIDM00143,sidm,resolved,SIDM00143,sidm,sanger,,,,COLO668; SIDM00143
COLO-678,SIDM00957,sidm,resolved,SIDM00957,sidm,sanger,,,,COLO678; SIDM00957
COLO-679,SIDM00284,sidm,resolved,SIDM00284,sidm,sanger,,,,COLO679; SIDM00284
COLO-680N,SIDM00956,sidm,resolved,SIDM00956,sidm,sanger,,,,COLO680N; SIDM00956
COLO-684,SIDM00142,sidm,resolved,SIDM00142,sidm,sanger,,,,COLO684; SIDM00142
COLO-792,SIDM00140,sidm,resolved,SIDM00140,sidm,sanger,,,,COLO792; SIDM00140
COLO-824,SIDM00954,sidm,resolved,SIDM00954,sidm,sanger,,,,COLO824; SIDM00954
COLO-829,SIDM00909,sidm,resolved,SIDM00909,sidm,sanger,,,,COLO829; SIDM00909
COR-L105,SIDM00513,sidm,resolved,SIDM00513,sidm,sanger,,,,CORL105; SIDM00513
COR-L23,SIDM00512,sidm,resolved,SIDM00512,sidm,sanger,,,,CORL23; SIDM00512
COR-L279,SIDM00511,sidm,resolved,SIDM00511,sidm,sanger,,,,CORL279; SIDM00511
COR-L311,SIDM00509,sidm,resolved,SIDM00509,sidm,sanger,,,,CORL311; SIDM00509
COR-L32,SIDM00508,sidm,resolved,SIDM00508,sidm,sanger,,,,CORL32; SIDM00508
COR-L88,SIDM00506,sidm,resolved,SIDM00506,sidm,sanger,,,,CORL88; SIDM00506
COR-L95,SIDM00521,sidm,resolved,SIDM00521,sidm,sanger,,,,CORL95; SIDM00521
CPC-N,SIDM00953,sidm,resolved,SIDM00953,sidm,sanger,,,,CPCN; SIDM00953
CS1,SIDM00199,sidm,resolved,SIDM00199,sidm,sanger,,,,CS1; SIDM00199
CTV-1,SIDM00951,sidm,resolved,SIDM00951,sidm,sanger,,,,CTV1; SIDM00951
CW-2,SIDM00282,sidm,resolved,SIDM00282,sidm,sanger,,,,CW2; SIDM00282
D-263MG,SIDM00732,sidm,resolved,SIDM00732,sidm,sanger,,,,D263MG; SIDM00732
D-283MED,SIDM00888,sidm,resolved,SIDM00888,sidm,sanger,,,,D283MED; SIDM00888
D-392MG,SIDM00542,sidm,resolved,SIDM00542,sidm,sanger,,,,D392MG; SIDM00542
DAN-G,SIDM00950,sidm,resolved,SIDM00950,sidm,sanger,,,,DANG; SIDM00950
Daoy,SIDM00887,sidm,resolved,SIDM00887,sidm,sanger,,,,DAOY; SIDM00887
Daudi,SIDM00845,sidm,resolved,SIDM00845,sidm,sanger,,,,DAUDI; SIDM00845
DB,SIDM00886,sidm,resolved,SIDM00886,sidm,sanger,,,,DB; SIDM00886
DBTRG-05MG,SIDM00867,sidm,resolved,SIDM00867,sidm,sanger,,,,DBTRG05MG; SIDM00867
DEL,SIDM00949,sidm,resolved,SIDM00949,sidm,sanger,,,,DEL; SIDM00949
Detroit562,SIDM00831,sidm,resolved,SIDM00831,sidm,sanger,,,,DETROIT562; SIDM00831
DG-75,SIDM00948,sidm,resolved,SIDM00948,sidm,sanger,,,,DG75; SIDM00948
DiFi,SIDM00049,sidm,resolved,SIDM00049,sidm,sanger,,,,DIFI; SIDM00049
DK-MG,SIDM00947,sidm,resolved,SIDM00947,sidm,sanger,,,,DKMG; SIDM00947
DMS-114,SIDM00865,sidm,resolved,SIDM00865,sidm,sanger,,,,DMS114; SIDM00865
DMS-273,SIDM00522,sidm,resolved,SIDM00522,sidm,sanger,,,,DMS273; SIDM00522
DMS-53,SIDM00523,sidm,resolved,SIDM00523,sidm,sanger,,,,DMS53; SIDM00523
DND-41,SIDM00946,sidm,resolved,SIDM00946,sidm,sanger,,,,DND41; SIDM00946
DOK,SIDM00540,sidm,resolved,SIDM00540,sidm,sanger,,,,DOK; SIDM00540
DoTc2-4510,SIDM00864,sidm,resolved,SIDM00864,sidm,sanger,,,,DOTC24510; SIDM00864
DOV13,SIDM00969,sidm,resolved,SIDM00969,sidm,sanger,,,,DOV13; SIDM00969
DSH1,SIDM00970,sidm,resolved,SIDM00970,sidm,sanger,,,,DSH1; SIDM00970
DU-145,SIDM00120,sidm,resolved,SIDM00120,sidm,sanger,,,,DU145; SIDM00120
DU-4475,SIDM01001,sidm,resolved,SIDM01001,sidm,sanger,,,,DU4475; SIDM01001
EB2,SIDM00863,sidm,resolved,SIDM00863,sidm,sanger,,,,EB2; SIDM00863
EB-3,SIDM00793,sidm,resolved,SIDM00793,sidm,sanger,,,,EB3; SIDM00793
EBC-1,SIDM00486,sidm,resolved,SIDM00486,sidm,sanger,,,,EBC1; SIDM00486
ECC10,SIDM00280,sidm,resolved,SIDM00280,sidm,sanger,,,,ECC10; SIDM00280
EC-GI-10,SIDM00278,sidm,resolved,SIDM00278,sidm,sanger,,,,ECGI10; SIDM00278
EFM-19,SIDM01056,sidm,resolved,SIDM01056,sidm,sanger,,,,EFM19; SIDM01056
EFM-192A,SIDM01002,sidm,resolved,SIDM01002,sidm,sanger,,,,EFM192A; SIDM01002
EFO-21,SIDM01052,sidm,resolved,SIDM01052,sidm,sanger,,,,EFO21; SIDM01052
EGI-1,SIDM01050,sidm,resolved,SIDM01050,sidm,sanger,,,,EGI1; SIDM01050
EJM,SIDM01048,sidm,resolved,SIDM01048,sidm,sanger,,,,EJM; SIDM01048
EM-2,SIDM01047,sidm,resolved,SIDM01047,sidm,sanger,,,,EM2; SIDM01047
EMC-BAC-2,SIDM00047,sidm,resolved,SIDM00047,sidm,sanger,,,,EMCBAC2; SIDM00047
EN,SIDM01045,sidm,resolved,SIDM01045,sidm,sanger,,,,EN; SIDM01045
EoL-1-cell,SIDM00277,sidm,resolved,SIDM00277,sidm,sanger,,,,EOL1CELL; SIDM00277
EPLC-272H,SIDM01044,sidm,resolved,SIDM01044,sidm,sanger,,,,EPLC272H; SIDM01044
ES1,SIDM00266,sidm,resolved,SIDM00266,sidm,sanger,,,,ES1; SIDM00266
ES-2,SIDM00861,sidm,resolved,SIDM00861,sidm,sanger,,,,ES2; SIDM00861
ES4,SIDM00264,sidm,resolved,SIDM00264,sidm,sanger,,,,ES4; SIDM00264
ES6,SIDM00262,sidm,resolved,SIDM00262,sidm,sanger,,,,ES6; SIDM00262
ES7,SIDM00269,sidm,resolved,SIDM00269,sidm,sanger,,,,ES7; SIDM00269
ES8,SIDM00261,sidm,resolved,SIDM00261,sidm,sanger,,,,ES8; SIDM00261
ESO26,SIDM00539,sidm,resolved,SIDM00539,sidm,sanger,,,,ESO26; SIDM00539
ESO51,SIDM00538,sidm,resolved,SIDM00538,sidm,sanger,,,,ESO51; SIDM00538
ESS-1,SIDM01043,sidm,resolved,SIDM01043,sidm,sanger,,,,ESS1; SIDM01043
ETK-1,SIDM00276,sidm,resolved,SIDM00276,sidm,sanger,,,,ETK1; SIDM00276
EVSA-T,SIDM01042,sidm,resolved,SIDM01042,sidm,sanger,,,,EVSAT; SIDM01042
EW-1,SIDM00205,sidm,resolved,SIDM00205,sidm,sanger,,,,EW1; SIDM00205
EW-11,SIDM00203,sidm,resolved,SIDM00203,sidm,sanger,,,,EW11; SIDM00203
EW-13,SIDM00621,sidm,resolved,SIDM00621,sidm,sanger,,,,EW13; SIDM00621
EW-16,SIDM00198,sidm,resolved,SIDM00198,sidm,sanger,,,,EW16; SIDM00198
EW-18,SIDM00197,sidm,resolved,SIDM00197,sidm,sanger,,,,EW18; SIDM00197
EW-22,SIDM00196,sidm,resolved,SIDM00196,sidm,sanger,,,,EW22; SIDM00196
EW-24,SIDM00195,sidm,resolved,SIDM00195,sidm,sanger,,,,EW24; SIDM00195
EW-3,SIDM00202,sidm,resolved,SIDM00202,sidm,sanger,,,,EW3; SIDM00202
EW-7,SIDM00201,sidm,resolved,SIDM00201,sidm,sanger,,,,EW7; SIDM00201
FADU,SIDM00860,sidm,resolved,SIDM00860,sidm,sanger,,,,FADU; SIDM00860
FLO-1,SIDM01041,sidm,resolved,SIDM01041,sidm,sanger,,,,FLO1; SIDM01041
FTC-133,SIDM00213,sidm,resolved,SIDM00213,sidm,sanger,,,,FTC133; SIDM00213
FU97,SIDM00503,sidm,resolved,SIDM00503,sidm,sanger,,,,FU97; SIDM00503
FU-OV-1,SIDM01040,sidm,resolved,SIDM01040,sidm,sanger,,,,FUOV1; SIDM01040
G-292-Clone-A141B1,SIDM00858,sidm,resolved,SIDM00858,sidm,sanger,,,,G292CLONEA141B1; SIDM00858
G-361,SIDM00857,sidm,resolved,SIDM00857,sidm,sanger,,,,G361; SIDM00857
G-401,SIDM00856,sidm,resolved,SIDM00856,sidm,sanger,,,,G401; SIDM00856
G-402,SIDM00855,sidm,resolved,SIDM00855,sidm,sanger,,,,G402; SIDM00855
GA-10,SIDM00854,sidm,resolved,SIDM00854,sidm,sanger,,,,GA10; SIDM00854
GAK,SIDM00543,sidm,resolved,SIDM00543,sidm,sanger,,,,GAK; SIDM00543
GAMG,SIDM01055,sidm,resolved,SIDM01055,sidm,sanger,,,,GAMG; SIDM01055
GB-1,SIDM00581,sidm,resolved,SIDM00581,sidm,sanger,,,,GB1; SIDM00581
GCIY,SIDM00274,sidm,resolved,SIDM00274,sidm,sanger,,,,GCIY; SIDM00274
GCT,SIDM00853,sidm,resolved,SIDM00853,sidm,sanger,,,,GCT; SIDM00853
GDM-1,SIDM01057,sidm,resolved,SIDM01057,sidm,sanger,,,,GDM1; SIDM01057
GI-1,SIDM00273,sidm,resolved,SIDM00273,sidm,sanger,,,,GI1; SIDM00273
GI-ME-N,SIDM00227,sidm,resolved,SIDM00227,sidm,sanger,,,,GIMEN; SIDM00227
GOTO,SIDM00544,sidm,resolved,SIDM00544,sidm,sanger,,,,GOTO; SIDM00544
GP5d,SIDM00537,sidm,resolved,SIDM00537,sidm,sanger,,,,GP5D; SIDM00537
GRANTA-519,SIDM01058,sidm,resolved,SIDM01058,sidm,sanger,,,,GRANTA519; SIDM01058
GR-ST,SIDM01259,sidm,resolved,SIDM01259,sidm,sanger,,,,GRST; SIDM01259
H4,SIDM00852,sidm,resolved,SIDM00852,sidm,sanger,,,,H4; SIDM00852
H9,SIDM01251,sidm,resolved,SIDM01251,sidm,sanger,,,,H9; SIDM01251
HAL-01,SIDM00289,sidm,resolved,SIDM00289,sidm,sanger,,,,HAL01; SIDM00289
HARA,SIDM00598,sidm,resolved,SIDM00598,sidm,sanger,,,,HARA; SIDM00598
HC-1,SIDM01073,sidm,resolved,SIDM01073,sidm,sanger,,,,HC1; SIDM01073
HCC1143,SIDM00866,sidm,resolved,SIDM00866,sidm,sanger,,,,HCC1143; SIDM00866
HCC1187,SIDM00885,sidm,resolved,SIDM00885,sidm,sanger,,,,HCC1187; SIDM00885
HCC1395,SIDM00884,sidm,resolved,SIDM00884,sidm,sanger,,,,HCC1395; SIDM00884
HCC1419,SIDM00882,sidm,resolved,SIDM00882,sidm,sanger,,,,HCC1419; SIDM00882
HCC1428,SIDM00881,sidm,resolved,SIDM00881,sidm,sanger,,,,HCC1428; SIDM00881
HCC-15,SIDM01072,sidm,resolved,SIDM01072,sidm,sanger,,,,HCC15; SIDM01072
HCC1500,SIDM00879,sidm,resolved,SIDM00879,sidm,sanger,,,,HCC1500; SIDM00879
HCC1599,SIDM00877,sidm,resolved,SIDM00877,sidm,sanger,,,,HCC1599; SIDM00877
HCC1806,SIDM00875,sidm,resolved,SIDM00875,sidm,sanger,,,,HCC1806; SIDM00875
HCC1937,SIDM00874,sidm,resolved,SIDM00874,sidm,sanger,,,,HCC1937; SIDM00874
HCC1954,SIDM00872,sidm,resolved,SIDM00872,sidm,sanger,,,,HCC1954; SIDM00872
HCC2157,SIDM00774,sidm,resolved,SIDM00774,sidm,sanger,,,,HCC2157; SIDM00774
HCC2998,SIDM00118,sidm,resolved,SIDM00118,sidm,sanger,,,,HCC2998; SIDM00118
HCC38,SIDM00675,sidm,resolved,SIDM00675,sidm,sanger,,,,HCC38; SIDM00675
HCC-44,SIDM01069,sidm,resolved,SIDM01069,sidm,sanger,,,,HCC44; SIDM01069
HCC70,SIDM00673,sidm,resolved,SIDM00673,sidm,sanger,,,,HCC70; SIDM00673
HCC-78,SIDM01068,sidm,resolved,SIDM01068,sidm,sanger,,,,HCC78; SIDM01068
HCC-827,SIDM01067,sidm,resolved,SIDM01067,sidm,sanger,,,,HCC827; SIDM01067
HCT-116,SIDM00783,sidm,resolved,SIDM00783,sidm,sanger,,,,HCT116; SIDM00783
HCT-15,SIDM00789,sidm,resolved,SIDM00789,sidm,sanger,,,,HCT15; SIDM00789
HDLM-2,SIDM01064,sidm,resolved,SIDM01064,sidm,sanger,,,,HDLM2; SIDM01064
HD-MY-Z,SIDM01063,sidm,resolved,SIDM01063,sidm,sanger,,,,HDMYZ; SIDM01063
HDQ-P1,SIDM01062,sidm,resolved,SIDM01062,sidm,sanger,,,,HDQP1; SIDM01062
HEC-1,SIDM00596,sidm,resolved,SIDM00596,sidm,sanger,,,,HEC1; SIDM00596
HeLa,SIDM00846,sidm,resolved,SIDM00846,sidm,sanger,,,,HELA; SIDM00846
H-EMC-SS,SIDM00535,sidm,resolved,SIDM00535,sidm,sanger,,,,HEMCSS; SIDM00535
Hey,SIDM00968,sidm,resolved,SIDM00968,sidm,sanger,,,,HEY; SIDM00968
HGC-27,SIDM00290,sidm,resolved,SIDM00290,sidm,sanger,,,,HGC27; SIDM00290
HH,SIDM00671,sidm,resolved,SIDM00671,sidm,sanger,,,,HH; SIDM00671
HL-60,SIDM00829,sidm,resolved,SIDM00829,sidm,sanger,,,,HL60; SIDM00829
HLE,SIDM00064,sidm,resolved,SIDM00064,sidm,sanger,,,,HLE; SIDM00064
HMV-II,SIDM00291,sidm,resolved,SIDM00291,sidm,sanger,,,,HMVII; SIDM00291
HO-1-N-1,SIDM00592,sidm,resolved,SIDM00592,sidm,sanger,,,,HO1N1; SIDM00592
HO-1-u-1,SIDM00591,sidm,resolved,SIDM00591,sidm,sanger,,,,HO1U1; SIDM00591
HOP-62,SIDM00133,sidm,resolved,SIDM00133,sidm,sanger,,,,HOP62; SIDM00133
HOP-92,SIDM00134,sidm,resolved,SIDM00134,sidm,sanger,,,,HOP92; SIDM00134
HOS,SIDM00806,sidm,resolved,SIDM00806,sidm,sanger,,,,HOS; SIDM00806
HPAC,SIDM00670,sidm,resolved,SIDM00670,sidm,sanger,,,,HPAC; SIDM00670
HPAF-II,SIDM00669,sidm,resolved,SIDM00669,sidm,sanger,,,,HPAFII; SIDM00669
Hs-445,SIDM00668,sidm,resolved,SIDM00668,sidm,sanger,,,,HS445; SIDM00668
Hs-578-T,SIDM00135,sidm,resolved,SIDM00135,sidm,sanger,,,,HS578T; SIDM00135
Hs-633T,SIDM00667,sidm,resolved,SIDM00667,sidm,sanger,,,,HS633T; SIDM00667
Hs-746T,SIDM00665,sidm,resolved,SIDM00665,sidm,sanger,,,,HS746T; SIDM00665
Hs-766T,SIDM00664,sidm,resolved,SIDM00664,sidm,sanger,,,,HS766T; SIDM00664
HSC-2,SIDM00590,sidm,resolved,SIDM00590,sidm,sanger,,,,HSC2; SIDM00590
HSC-3,SIDM00589,sidm,resolved,SIDM00589,sidm,sanger,,,,HSC3; SIDM00589
HSC-39,SIDM00045,sidm,resolved,SIDM00045,sidm,sanger,,,,HSC39; SIDM00045
HSC-4,SIDM00588,sidm,resolved,SIDM00588,sidm,sanger,,,,HSC4; SIDM00588
HT-1080,SIDM00828,sidm,resolved,SIDM00828,sidm,sanger,,,,HT1080; SIDM00828
HT-1197,SIDM00676,sidm,resolved,SIDM00676,sidm,sanger,,,,HT1197; SIDM00676
HT-1376,SIDM00678,sidm,resolved,SIDM00678,sidm,sanger,,,,HT1376; SIDM00678
HT-144,SIDM00695,sidm,resolved,SIDM00695,sidm,sanger,,,,HT144; SIDM00695
HT-29,SIDM00136,sidm,resolved,SIDM00136,sidm,sanger,,,,HT29; SIDM00136
HT-3,SIDM00679,sidm,resolved,SIDM00679,sidm,sanger,,,,HT3; SIDM00679
HT55,SIDM00541,sidm,resolved,SIDM00541,sidm,sanger,,,,HT55; SIDM00541
HTC-C3,SIDM00496,sidm,resolved,SIDM00496,sidm,sanger,,,,HTCC3; SIDM00496
HuCCT1,SIDM00587,sidm,resolved,SIDM00587,sidm,sanger,,,,HUCCT1; SIDM00587
huH-1,SIDM00586,sidm,resolved,SIDM00586,sidm,sanger,,,,HUH1; SIDM00586
HuH-7,SIDM00585,sidm,resolved,SIDM00585,sidm,sanger,,,,HUH7; SIDM00585
HuO-3N1,SIDM00584,sidm,resolved,SIDM00584,sidm,sanger,,,,HUO3N1; SIDM00584
HuO9,SIDM00599,sidm,resolved,SIDM00599,sidm,sanger,,,,HUO9; SIDM00599
HuP-T3,SIDM00533,sidm,resolved,SIDM00533,sidm,sanger,,,,HUPT3; SIDM00533
HuP-T4,SIDM00531,sidm,resolved,SIDM00531,sidm,sanger,,,,HUPT4; SIDM00531
IA-LM,SIDM00306,sidm,resolved,SIDM00306,sidm,sanger,,,,IALM; SIDM00306
IGR-1,SIDM01060,sidm,resolved,SIDM01060,sidm,sanger,,,,IGR1; SIDM01060
IGR-37,SIDM01066,sidm,resolved,SIDM01066,sidm,sanger,,,,IGR37; SIDM01066
IGROV-1,SIDM00151,sidm,resolved,SIDM00151,sidm,sanger,,,,IGROV1; SIDM00151
IHH-4,SIDM00600,sidm,resolved,SIDM00600,sidm,sanger,,,,IHH4; SIDM00600
IM-9,SIDM00632,sidm,resolved,SIDM00632,sidm,sanger,,,,IM9; SIDM00632
IM-95,SIDM00602,sidm,resolved,SIDM00602,sidm,sanger,,,,IM95; SIDM00602
IMR-5,SIDM01206,sidm,resolved,SIDM01206,sidm,sanger,,,,IMR5; SIDM01206
IST-MEL1,SIDM00225,sidm,resolved,SIDM00225,sidm,sanger,,,,ISTMEL1; SIDM00225
IST-MES1,SIDM00224,sidm,resolved,SIDM00224,sidm,sanger,,,,ISTMES1; SIDM00224
IST-SL2,SIDM00230,sidm,resolved,SIDM00230,sidm,sanger,,,,ISTSL2; SIDM00230
J82,SIDM00693,sidm,resolved,SIDM00693,sidm,sanger,,,,J82; SIDM00693
JHH-1,SIDM00618,sidm,resolved,SIDM00618,sidm,sanger,,,,JHH1; SIDM00618
JHH-2,SIDM00617,sidm,resolved,SIDM00617,sidm,sanger,,,,JHH2; SIDM00617
JHH-4,SIDM00616,sidm,resolved,SIDM00616,sidm,sanger,,,,JHH4; SIDM00616
JHH-6,SIDM00615,sidm,resolved,SIDM00615,sidm,sanger,,,,JHH6; SIDM00615
JHH-7,SIDM00614,sidm,resolved,SIDM00614,sidm,sanger,,,,JHH7; SIDM00614
JHU-022,SIDM00127,sidm,resolved,SIDM00127,sidm,sanger,,,,JHU022; SIDM00127
JIMT-1,SIDM01037,sidm,resolved,SIDM01037,sidm,sanger,,,,JIMT1; SIDM01037
JiyoyeP-2003,SIDM00808,sidm,resolved,SIDM00808,sidm,sanger,,,,JIYOYEP2003; SIDM00808
JJN-3,SIDM01036,sidm,resolved,SIDM01036,sidm,sanger,,,,JJN3; SIDM01036
JSC-1,SIDM00688,sidm,resolved,SIDM00688,sidm,sanger,,,,JSC1; SIDM00688
JURL-MK1,SIDM01015,sidm,resolved,SIDM01015,sidm,sanger,,,,JURLMK1; SIDM01015
JVM-2,SIDM01013,sidm,resolved,SIDM01013,sidm,sanger,,,,JVM2; SIDM01013
JVM-3,SIDM01012,sidm,resolved,SIDM01012,sidm,sanger,,,,JVM3; SIDM01012
K5,SIDM00056,sidm,resolved,SIDM00056,sidm,sanger,,,,K5; SIDM00056
K-562,SIDM00791,sidm,resolved,SIDM00791,sidm,sanger,,,,K562; SIDM00791
KALS-1,SIDM00613,sidm,resolved,SIDM00613,sidm,sanger,,,,KALS1; SIDM00613
KARPAS-1106P,SIDM01011,sidm,resolved,SIDM01011,sidm,sanger,,,,KARPAS1106P; SIDM01011
KARPAS-231,SIDM01017,sidm,resolved,SIDM01017,sidm,sanger,,,,KARPAS231; SIDM01017
KARPAS-299,SIDM01010,sidm,resolved,SIDM01010,sidm,sanger,,,,KARPAS299; SIDM01010
KARPAS-422,SIDM01008,sidm,resolved,SIDM01008,sidm,sanger,,,,KARPAS422; SIDM01008
KARPAS-45,SIDM01007,sidm,resolved,SIDM01007,sidm,sanger,,,,KARPAS45; SIDM01007
KARPAS-620,SIDM01006,sidm,resolved,SIDM01006,sidm,sanger,,,,KARPAS620; SIDM01006
KATOIII,SIDM00687,sidm,resolved,SIDM00687,sidm,sanger,,,,KATOIII; SIDM00687
KCL-22,SIDM01004,sidm,resolved,SIDM01004,sidm,sanger,,,,KCL22; SIDM01004
KE-37,SIDM01003,sidm,resolved,SIDM01003,sidm,sanger,,,,KE37; SIDM01003
KELLY,SIDM01009,sidm,resolved,SIDM01009,sidm,sanger,,,,KELLY; SIDM01009
KG-1,SIDM00785,sidm,resolved,SIDM00785,sidm,sanger,,,,KG1; SIDM00785
KGN,SIDM00302,sidm,resolved,SIDM00302,sidm,sanger,,,,KGN; SIDM00302
KINGS-1,SIDM00612,sidm,resolved,SIDM00612,sidm,sanger,,,,KINGS1; SIDM00612
KLE,SIDM00686,sidm,resolved,SIDM00686,sidm,sanger,,,,KLE; SIDM00686
KM12,SIDM00150,sidm,resolved,SIDM00150,sidm,sanger,,,,KM12; SIDM00150
KM-H2,SIDM01018,sidm,resolved,SIDM01018,sidm,sanger,,,,KMH2; SIDM01018
KMOE-2,SIDM01019,sidm,resolved,SIDM01019,sidm,sanger,,,,KMOE2; SIDM01019
KMRC-1,SIDM00611,sidm,resolved,SIDM00611,sidm,sanger,,,,KMRC1; SIDM00611
KMRC-20,SIDM00609,sidm,resolved,SIDM00609,sidm,sanger,,,,KMRC20; SIDM00609
KMS-12-BM,SIDM01020,sidm,resolved,SIDM01020,sidm,sanger,,,,KMS12BM; SIDM01020
KNS-62,SIDM00606,sidm,resolved,SIDM00606,sidm,sanger,,,,KNS62; SIDM00606
KOPN-8,SIDM01034,sidm,resolved,SIDM01034,sidm,sanger,,,,KOPN8; SIDM01034
