SIDM,cell_line_name,tissue
SIDM00686,KLE,Endometrium
SIDM00150,KM12,Colon
SIDM01018,KM-H2,Lymphoid
SIDM01019,KMOE-2,Lymphoid
SIDM00611,KMRC-1,Kidney
SIDM00609,KMRC-20,Kidney
SIDM01020,KMS-12-BM,Lymphoid
SIDM00606,KNS-62,Lung
SIDM01034,KOPN-8,Lymphoid
SIDM00583,KP-1N,Pancreas
SIDM00582,KP-2,Pancreas
SIDM00571,KP-3,Pancreas
SIDM00301,KP-4,Pancreas
SIDM00556,KP-N-YN,PNS
SIDM00555,KS-1,CNS
SIDM01033,KU-19-19,Bladder
SIDM00308,KU812,Lymphoid
SIDM00554,KURAMOCHI,Ovary
SIDM00553,KY821,Lymphoid
SIDM00530,KYAE-1,Esophagus
SIDM00552,KYM-1,Soft_tissue
SIDM01032,KYSE-140,Esophagus
SIDM01031,KYSE-150,Esophagus
SIDM01030,KYSE-180,Esophagus
SIDM00551,KYSE-220,Esophagus
SIDM01029,KYSE-270,Esophagus
SIDM01028,KYSE-410,Esophagus
SIDM01027,KYSE-450,Esophagus
SIDM00550,KYSE-50,Esophagus
SIDM01025,KYSE-520,Esophagus
SIDM01024,KYSE-70,Esophagus
SIDM00313,L-1236,Lymphoid
SIDM00312,L-363,Lymphoid
SIDM00327,L-428,Lymphoid
SIDM00329,L-540,Lymphoid
SIDM00346,LAMA-84,Lymphoid
SIDM00182,LB771-HNC,Head
SIDM00181,LB831-BLC,Bladder
SIDM00180,LB996-RCC,Kidney
SIDM00300,LC-1-sq,Lung
SIDM00549,LC4-1,Lymphoid
SIDM00345,LCLC-103H,Lung
SIDM00344,LCLC-97TM1,Lung
SIDM00548,LK-2,Lung
SIDM00685,LN-18,CNS
SIDM00684,LN-229,CNS
SIDM00343,LN-405,CNS
SIDM00683,LNCaP-Clone-FGC,Prostate
SIDM01220,LNZTA3WT4,CNS
SIDM00342,LOUCY,Lymphoid
SIDM00341,LOU-NH91,Lung
SIDM00839,LoVo,Colon
SIDM00149,LOXIMVI,Skin
SIDM00776,LS-123,Colon
SIDM00680,LS-180,Colon
SIDM00660,LS-411N,Colon
SIDM00677,LS-513,Colon
SIDM00294,LU-135,Lung
SIDM00293,LU-139,Lung
SIDM00292,LU-165,Lung
SIDM00547,LU-65,Lung
SIDM01219,LU-99A,Lung
SIDM00339,LXF-289,Lung
SIDM00659,M059J,CNS
SIDM00003,M14,Skin
SIDM00636,MC-CAR,Lymphoid
SIDM00148,MCF7,Breast
SIDM00529,MDA-MB-157,Breast
SIDM00633,MDA-MB-175-VII,Breast
SIDM00146,MDA-MB-231,Breast
SIDM00528,MDA-MB-361,Breast
SIDM00630,MDA-MB-415,Breast
SIDM00629,MDA-MB-436,Breast
SIDM00272,MDA-MB-453,Breast
SIDM00628,MDA-MB-468,Breast
SIDM00527,MDST8,Colon
SIDM00338,ME-1,Lymphoid
SIDM00627,ME-180,Cervix
SIDM00526,MEG-01,Lymphoid
SIDM00336,MEL-JUSO,Skin
SIDM00625,MES-SA,Uterus
SIDM00545,Mewo,Skin
SIDM00335,MFE-280,Endometrium
SIDM00334,MFE-296,Endometrium
SIDM00333,MFE-319,Endometrium
SIDM00299,MFH-ino,Soft_tissue
SIDM00332,MFM-223,Breast
SIDM00525,MG-63,Bone
SIDM00331,MHH-CALL-2,Lymphoid
SIDM00386,MHH-ES-1,Bone
SIDM00388,MHH-PREB-1,Lymphoid
SIDM00505,MIA-PaCa-2,Pancreas
SIDM00271,MKN1,Stomach
