cell_line,tissue,True Positive,True Negative,False Positive,False Negative,Total,Match,Mismatch,Match %,Mismatch %,Accuracy,Recall,Precision,balanced_accuracy,failure_reason,roc_auc,pr_auc,f1_score,n_positive,n_negative,pred_min,valid_matched_rows,missing_predictions,invalid_experimental_values,invalid_predictions
MV411,lymphoid,12.0,1.0,3.0,9.0,25.0,13.0,12.0,52.0,48.0,52.0,57.14,80.0,0.5114285714285715,success,0.4942857142857143,0.825925446638612,0.8301886792452831,25.0,7.0,-0.5022667759779467,32,0,0,0
RPMI8866,lymphoid,13.0,1.0,1.0,10.0,25.0,14.0,11.0,56.00000000000001,44.0,56.0,56.52,92.86,0.4821428571428571,success,0.3452380952380952,0.7793760763129158,0.8852459016393442,28.0,6.0,-0.5056240000359584,34,0,0,0
TK,lymphoid,13.0,2.0,3.0,7.0,25.0,15.0,10.0,60.0,40.0,60.0,65.0,81.25,0.5,success,0.4407114624505929,0.6566458739595564,0.8070175438596491,23.0,11.0,-0.5116160680441351,34,0,0,0
OVCA420,ovary,15.0,1.0,3.0,6.0,25.0,16.0,9.0,64.0,36.0,64.0,71.43,83.33,0.48,success,0.4511111111111111,0.7556711159426438,0.8275862068965517,25.0,9.0,-0.5432966276848364,34,0,0,0
RMGI,ovary,6.0,6.0,9.0,4.0,25.0,12.0,13.0,48.0,52.0,48.0,60.0,40.0,0.5227272727272727,success,0.3541666666666666,0.2988740374692387,0.5333333333333333,12.0,22.0,-0.5354076074552389,34,0,0,0
BPH1,prostate,9.0,2.0,2.0,12.0,25.0,11.0,14.0,44.0,56.00000000000001,44.0,42.86,81.82,0.4,success,0.4133333333333333,0.7597013041204119,0.7407407407407407,25.0,9.0,-0.483080329817562,34,0,0,0
LNCAPCLONEFGC,prostate,3.0,4.0,6.0,1.0,14.0,7.0,7.0,50.0,50.0,50.0,75.0,33.33,0.4,success,0.4846153846153846,0.3176767676767676,0.3636363636363636,5.0,13.0,-0.4398752533902615,18,16,0,11
C32,skin,9.0,3.0,5.0,8.0,25.0,12.0,13.0,48.0,52.0,48.0,52.94,64.29,0.475,success,0.4267857142857143,0.6320072973045225,0.7169811320754716,20.0,14.0,-0.4806418073973935,34,0,0,0
GAK,skin,9.0,0.0,0.0,5.0,14.0,9.0,5.0,64.28571428571429,35.714285714285715,64.29,64.29,100.0,0.4705882352941176,success,0.088235294117647,0.8858598677370303,0.9411764705882352,17.0,1.0,-0.5263957853092917,18,16,0,11
WM115,skin,11.0,4.0,3.0,7.0,25.0,15.0,10.0,60.0,40.0,60.0,61.11,78.57,0.4772727272727273,success,0.4981060606060605,0.7132062547876294,0.7636363636363637,22.0,12.0,-0.5329684585401225,34,0,0,0
MKN45,stomach,21.0,1.0,2.0,1.0,25.0,22.0,3.0,88.0,12.0,88.0,95.45,91.3,0.5827586206896552,success,0.4758620689655172,0.8652044291364991,0.918032786885246,29.0,5.0,-0.4981142522298688,34,0,0,0
