tissue,analysis_mode,status,runtime_seconds,config,synergies,return_code,error
lymphoid,inhibitor_combination,success,16.18,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_lymphoid_inhibitor_combination.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_lymphoid.csv,0,
ovary,cell_line,success,6.69,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_ovary_cell_line.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_ovary.csv,0,
ovary,inhibitor_combination,success,6.36,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_ovary_inhibitor_combination.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_ovary.csv,0,
pancreas,cell_line,success,5.89,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_pancreas_cell_line.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_pancreas.csv,0,
pancreas,inhibitor_combination,success,6.31,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_pancreas_inhibitor_combination.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_pancreas.csv,0,
pns,cell_line,success,6.05,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_pns_cell_line.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_pns.csv,0,
pns,inhibitor_combination,success,4.95,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_pns_inhibitor_combination.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_pns.csv,0,
prostate,cell_line,success,4.27,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_prostate_cell_line.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_prostate.csv,0,
prostate,inhibitor_combination,success,3.23,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_prostate_inhibitor_combination.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_prostate.csv,0,
skin,cell_line,success,6.81,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_skin_cell_line.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_skin.csv,0,
skin,inhibitor_combination,success,7.16,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_skin_inhibitor_combination.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_skin.csv,0,
soft_tissue,cell_line,success,5.11,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_soft_tissue_cell_line.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_soft_tissue.csv,0,
soft_tissue,inhibitor_combination,success,5.81,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_soft_tissue_inhibitor_combination.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_soft_tissue.csv,0,
stomach,cell_line,success,5.88,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_stomach_cell_line.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_stomach.csv,0,
stomach,inhibitor_combination,success,6.49,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_stomach_inhibitor_combination.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_stomach.csv,0,
testis,cell_line,success,2.57,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_testis_cell_line.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_testis.csv,0,
testis,inhibitor_combination,success,3.58,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_testis_inhibitor_combination.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_testis.csv,0,
thyroid,cell_line,success,5.11,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_thyroid_cell_line.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_thyroid.csv,0,
thyroid,inhibitor_combination,success,6.63,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_thyroid_inhibitor_combination.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_thyroid.csv,0,
uterus,cell_line,success,3.77,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_uterus_cell_line.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_uterus.csv,0,
uterus,inhibitor_combination,success,3.71,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_uterus_inhibitor_combination.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_uterus.csv,0,
vulva,cell_line,success,3.7,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_vulva_cell_line.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_vulva.csv,0,
vulva,inhibitor_combination,success,2.65,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_vulva_inhibitor_combination.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_vulva.csv,0,
