Perturbation,Excess,cell_line,tissue
PD_03_PD_10,-7.713630872929755e-07,RT4,bladder
PD_03_PD_11,-7.717672948492904e-07,RT4,bladder
PD_03_PD_12,0.0,RT4,bladder
PD_03_PD_15,-2.6773472328045497e-11,RT4,bladder
PD_06_PD_08,0.0546637507194663,RT4,bladder
PD_06_PD_10,-0.4459617914833336,RT4,bladder
PD_06_PD_14,-0.0712782846668355,RT4,bladder
PD_07_PD_08,-0.0664874621788711,RT4,bladder
PD_07_PD_10,-6.346396408396515e-09,RT4,bladder
PD_08_PD_10,-0.2863765982994131,RT4,bladder
PD_08_PD_12,-0.0317315224761932,RT4,bladder
PD_08_PD_14,-0.1030098071429381,RT4,bladder
PD_08_PD_15,-0.0076180547721048,RT4,bladder
PD_10_PD_12,-1.9709093468378572e-08,RT4,bladder
PD_10_PD_13,4.042080004040826e-10,RT4,bladder
PD_10_PD_15,-2.0830759339673927e-10,RT4,bladder
PD_01_PD_02,-0.0002201507571135,SW1710,bladder
PD_01_PD_03,-0.000867319321625,SW1710,bladder
PD_01_PD_08,-0.0132162468196767,SW1710,bladder
PD_01_PD_10,-0.0011707636709782,SW1710,bladder
PD_03_PD_05,-3.3747302952136244e-08,SW1710,bladder
PD_03_PD_06,-0.0012343546920215,SW1710,bladder
PD_03_PD_07,-3.611615340126661e-09,SW1710,bladder
PD_03_PD_08,-0.0013154590738689,SW1710,bladder
PD_03_PD_09,-5.209743068945727e-06,SW1710,bladder
PD_03_PD_10,-4.620490670070865e-07,SW1710,bladder
PD_03_PD_11,-4.620632562124527e-07,SW1710,bladder
PD_03_PD_12,-2.220446049250313e-16,SW1710,bladder
PD_03_PD_15,-6.798772655969286e-11,SW1710,bladder
PD_06_PD_08,5.944834491344864e-08,SW1710,bladder
PD_06_PD_10,-0.5116160680441351,SW1710,bladder
PD_06_PD_14,-0.0039957249811315,SW1710,bladder
PD_07_PD_08,-1.1553692378374336e-06,SW1710,bladder
PD_07_PD_10,-6.704187205386346e-10,SW1710,bladder
PD_08_PD_10,-0.0675935697951697,SW1710,bladder
PD_08_PD_12,-0.0001336535055094,SW1710,bladder
PD_08_PD_14,-0.0041293784866286,SW1710,bladder
PD_08_PD_15,-5.362108468354165e-08,SW1710,bladder
PD_10_PD_12,-2.4586604430165693e-07,SW1710,bladder
PD_10_PD_13,1.4190648656153826e-11,SW1710,bladder
PD_10_PD_15,-1.4712675522332574e-11,SW1710,bladder
