,9384,9387,9409,27909,27910,27924
tissue,head,head,head,stomach,stomach,stomach
cell_line,HO1U1,HO1U1,HO1U1,NUGC4,NUGC4,NUGC4
perturbation,PD_01,PD_01_PD_08,PD_08,PD_01,PD_01_PD_08,PD_08
SMAD3,-0.0221338440253104,-0.0218840956872359,-0.0158629869262357,-0.0209709798872968,-0.0231571522312034,-0.0180083123931126
CTNNB1,0.0172367298069349,0.0163402002794169,0.0118434432144777,0.0154741973452649,0.0151018322205081,0.0117385846185123
LEF1,0.0172367298069349,0.0163402002794169,0.0118434432144777,0.0154741973452649,0.0151018322205081,0.0117385846185123
BIRC5_rna,0.0246514932386095,0.0247111587283213,0.0179114027630425,0.0233561469068097,0.0115674778941895,0.0090148313153745
FOS,0.0156550450739153,0.0148321528586494,0.0107433665812407,0.0139285743265469,0.0136519323841876,0.010615400474351
BAD,-0.0246203660252038,-0.0246451221372167,-0.0178637101094281,-0.0233299732226629,-0.0117860704782773,-0.0092334999316752
CREB1,0.0133726993420063,0.0118869797031679,0.0086086979009498,0.0117049972580662,0.0094605989562653,0.0073629865945594
RPS6K_f,0.0126869343911792,0.01169193662824,0.0084670622319836,0.010657552788084,0.0094182468057653,0.0073276090691062
BCL2L11,-0.0141466399732855,-0.0138644487174997,-0.0257431812683742,-0.0183979329134634,-0.0201719192877833,-0.0218281555172246
BCL2_rna,0.026032651729224,0.0261905832614896,0.018983782942162,0.0248812516264907,0.0025998047957914,0.0020377356698236
CyclinE_CDK2,0.0407937570611455,0.0425182102970302,0.0308534487837738,0.0391460005837683,0.0461543886592806,0.0359026891490907
MDM2,0.0221338440253104,0.0218840956872359,0.0158629869262357,0.0205422586762656,-0.008339080585389,-0.0063229488030898
RB1,-0.0393143397012342,-0.0408827152712421,-0.0296547310899031,-0.0376641940879227,-0.0444241625276577,-0.0345691650147556
CyclinB_CDK1,0.0437687806342481,0.0458068370681027,0.0332535036529795,0.0425456196297278,0.0515917461821569,0.0401267638838477
BCL2L1,-0.0025945655442183,-0.0028704040358628,0.0251333284291653,-0.0033643751064745,-0.0058933678834876,0.0192097160178061
XIAP,0.0240433970875334,0.0232010330786564,0.03249331331796,0.0237395053814697,-0.0048059448393009,0.0335967480233674
FOXO3,-0.009107012354504,-0.007330427555991,-0.0053123040285915,-0.0074132548129997,-0.0043749382677794,-0.0034057823585747
E2F,0.0395964807901937,0.0411908088489269,0.029920692164602,0.0381147406800023,0.0448929905963213,0.0349303463610107
BCL2,-0.0035566457354517,-0.0039196291286492,0.0264153217311312,-0.0032014637069927,-0.0053890538744951,0.0244967710680662
ERK_f,0.0060359153831571,0.0066762035783361,0.0048381929831509,0.0027118750788809,0.0042119519804224,0.0032696369335745
BAK,0.0022353176670171,0.0026981213100958,-0.0286887429258206,-0.0051733821277515,0.0109958975147905,-0.0225662674318487
BIRC5,0.0196631716240854,0.0196551992178885,0.0301773956753609,0.0240649583089084,0.001513911959013,0.0263764774459044
DIABLO,-0.0177683777130324,-0.0178182510115905,-0.0302172216550467,-0.0189518138266144,0.0073830908523412,-0.0306211773694287
CASP3,-0.0231141993548389,-0.022342965425313,-0.0369706385729282,-0.0304561997556461,0.0035067684741022,-0.040337356444858
CASP9,-0.016149517891586,-0.0156749614757699,-0.0356864743095786,-0.0164160957229762,0.0118299003213356,-0.0382733303533735
Apoptosis,-0.0185293060384607,-0.0181570908751796,-0.0383748959154621,-0.0190770004403417,0.0125877989047724,-0.0426925675370033
APAF1,0.0036693856072233,0.0042866017933114,-0.0308207372625281,0.0031904134674449,0.015085103617702,-0.0293326512191564
BID,-0.0089951495071487,-0.0086684924071987,-0.0257839620396953,-0.0136645476575888,0.0097804557727262,-0.0148712070623386
Proliferation,0.0437687806342481,0.0458068370681027,0.0332535036529795,0.0425456196297278,0.0515917461821569,0.0401267638838477
CDKN2A,-0.0221338440253104,-0.0218840956872359,-0.0158629869262357,-0.0208341698998836,-0.0206350593408946,-0.0160477967675438
LRP5,0.0,0.0,0.0,0.0,0.0,0.0
PTEN,0.0,0.0,0.0,0.0,0.0,0.0
ERBB2,0.0024541911787331,0.0027145310842328,0.0019671996352684,0.0,0.0,0.0
IGF1R,0.0024541911787331,0.0027145310842328,0.0019671996352684,0.0027118750788809,0.0042119519804224,0.0032696369335745
EGFR,0.0024541911787331,0.0027145310842328,0.0019671996352684,0.0027118750788809,0.0042119519804224,0.0032696369335745
PORCN,0.0,0.0,0.0,0.0,0.0,0.0
MET,0.0024541911787331,0.0027145310842328,0.0019671996352684,0.0027118750788809,0.0042119519804224,0.0032696369335745
FGFR,0.0,0.0,0.0,0.0,0.0,0.0
