tissue,cell_line,perturbation,AKT1,MAP2K4,MEK_f,MAPK8,MYC,JUN,STAT3,GSK3B,mTOR_c2,PIK3CA,KRAS,IRS2,BRAF,MAP3K1,CYCS,mTOR_c1,TP53,CDKN1B,CDKN1A,BAX,APC,CyclinD_CDK4_6,CDC25A,AXIN1,CCND1,SMAD3,CTNNB1,LEF1,BIRC5_rna,FOS,BAD,CREB1,RPS6K_f,BCL2L11,BCL2_rna,CyclinE_CDK2,MDM2,RB1,CyclinB_CDK1,BCL2L1,XIAP,FOXO3,E2F,BCL2,ERK_f,BAK,BIRC5,DIABLO,CASP3,CASP9,Apoptosis,APAF1,BID,Proliferation,CDKN2A,LRP5,PTEN,ERBB2,IGF1R,EGFR,PORCN,MET,FGFR
pancreas,KP2,PD_06_PD_10,-0.0050313101230516,0.0048034618964606,-0.0048034618964606,0.0048034618964606,0.0077205133745737,0.0015888954537701,0.008773855306824,0.0081702733112145,0.0111510022163109,0.0145234718675821,0.0096069237929212,0.0111510022163109,0.0111532931301128,0.0048034618964606,0.0333317421523184,-0.0104810494661052,-0.0056681050215233,0.0043016915555818,-0.0170672928830226,0.0223678646591845,0.0081702733112145,0.0123819849820555,0.0250494324544072,0.011799592872321,0.0267909153101149,-0.0103299080805461,-0.0188808110369497,-0.0190234139454092,0.0003040854752605,-0.0148811758831238,0.0035199515239481,-0.0111510022163109,-0.0104810494661052,0.0194994073884874,-0.0032802273906139,0.0197986648457139,0.002728807314377,-0.0207768347643269,0.0302425500487367,-0.0216945779052389,-0.0072596595723186,0.0077701874097796,0.0204734152570282,-0.0177539676405727,-0.0048034618964606,0.0288726957043072,-0.006621748396666,0.0034735738434861,0.0123416171304774,0.0314047280042626,0.0276343078457954,0.0348900628852935,0.0063202595270559,0.0302425500487367,-0.0077205133745737,-0.0001066783977628,0.0,0.0,0.0048034618964606,0.0048034618964606,0.0,0.0048034618964606,0.0
pancreas,KP2,PD_10,0.0059793421058417,0.0020049653974193,-0.0020049653974193,0.0020049653974193,0.0159365659296516,0.0117831401747544,0.0084202385468741,-0.0079834697305976,-0.0079834697305976,0.0060116432978886,0.0040099307948386,-0.0079834697305976,0.0046553854855449,0.0020049653974193,-0.0302531644538594,0.0079834697305976,-0.0177997772187124,-0.0188007974077899,-0.0208221983488003,-0.0280504474531876,-0.0079834697305976,0.0294490206456343,0.0284361296343589,-0.0098919327888697,0.0290731084388115,-0.0159417489645185,0.0119318040270278,0.0119318040270278,0.0179390140173372,0.0104977912775725,-0.0183034667701888,0.0090597969641842,0.0079834697305976,-0.0253889518001213,0.0191054128803806,0.0301139098720777,0.0159239497778517,-0.0292706852315907,0.0325565360972059,0.024811965845451,0.0317599126687319,-0.0059092994103368,0.0291189935860215,0.025699964478629,-0.0020049653974193,-0.0284332549197224,0.0291753365676893,-0.0292347994382931,-0.0366165095158687,-0.0352530208414849,-0.0380382068358898,-0.0306635919862118,-0.0255138058833674,0.0325565360972059,-0.0159365659296516,0.0,0.0,0.0,0.0020049653974193,0.0020049653974193,0.0,0.0020049653974193,0.0
pancreas,KP3,PD_06,-0.005405623973784,0.002228834776026,0.004835650268006,0.002228834776026,0.0158551816693449,0.0118589939174656,0.0092933198200581,-0.0079619183299425,-0.0061365482471918,0.0054284806358597,0.004457669552052,-0.0061365482471918,0.0036871046053867,0.002228834776026,-0.0309820776441687,0.0079619183299425,-0.0150751793417036,-0.0183159791167296,-0.0198079621738646,-0.0286441444622476,-0.0079619183299425,0.029752296114668,0.028729966238297,-0.0100397370928345,0.0295371779855532,-0.0160108951774485,0.0112910410801109,0.0112910410801109,0.0153256434923898,0.0104905001348379,-0.0166243586724107,0.0079619183299425,0.0079619183299425,-0.0250981891040756,0.0178601204581067,0.03054829230317,0.0070346031155034,-0.0294614349601543,0.0333886027931987,0.024986366311902,0.0323886159150725,-0.004835650268006,0.0296292711275392,0.0260522637005813,0.004835650268006,-0.0288465519603331,0.0270718097241597,-0.0304732522638524,-0.0378630115181376,-0.0368144396576132,-0.039615765003242,-0.0314466214628745,-0.025736063547451,0.0333886027931987,-0.0158551816693449,0.0,0.0,0.0,0.002228834776026,0.002228834776026,0.0,0.002228834776026,0.0
pancreas,KP3,PD_06_PD_10,-0.0053091133013054,0.0043800726966033,-0.0043800726966033,0.0043800726966033,0.0082025775932608,0.0050488893744893,0.008386341239783,0.007182565766525,0.0083937439164975,0.0123425047262386,0.0087601453932066,0.0083937439164975,0.0101702138518923,0.0043800726966033,0.0192037384199377,-0.0073835822427629,-0.0043037118212181,0.0051021995534593,-0.0156526273766006,0.0166862890279848,0.007182565766525,0.0243623331250383,0.0260816647935681,0.0104380636280113,0.0276441785707928,-0.0108028945644378,-0.0162047816622555,-0.0163077565893996,0.0047782689738873,-0.0115206693658553,-0.0001768690555184,-0.0081331969568713,-0.0073835822427629,0.0157745229894157,0.0057387999401754,0.0178695714323006,0.002967071264527,-0.0282693812266076,0.0348277112857616,-0.0138575579773111,-0.0006006848435198,0.0075823415727413,0.0277497312257831,-0.012356797885598,-0.0043800726966033,0.0198083527123164,-0.0010576319405874,-1.1658766832962212e-05,0.0027866422789866,0.0189946505324329,0.0191616342750859,0.019834828288514,0.0124242994885274,0.0348277112857616,-0.0082025775932608,-0.0019429722652976,0.0,0.0,0.0043800726966033,0.0043800726966033,0.0,0.0043800726966033,0.0
pancreas,KP3,PD_10,0.0051434998446367,0.0021157912840204,-0.0021157912840204,0.0021157912840204,0.0157816179249936,0.0112755810973842,0.0080508674388631,-0.0074443965312036,-0.0054408284598996,0.0051214887459104,0.0042315825680408,-0.0054408284598996,0.0049127152252847,0.0021157912840204,-0.0309947858263712,0.0074443965312036,-0.0177470632652467,-0.0189214901831383,-0.0202916570154394,-0.0288044750974481,-0.0074443965312036,0.029129031483978,0.0281300277917556,-0.0094227031850015,0.0288538833168978,-0.0157987192269099,0.0116692679976087,0.011663919851618,0.0178823151733566,0.0100470280833619,-0.0178850644468993,0.0085445704614857,0.0074443965312036,-0.0256713077690914,0.019126712699405,0.0299901748639663,0.0157631059913886,-0.0291264095991785,0.0325985688292456,0.0251758013850121,0.0330942694590831,-0.0049033227489688,0.0289172485914134,0.0262375288202753,-0.0021157912840204,-0.0289360395621137,0.0304809346682053,-0.0305333922049383,-0.0379198072627303,-0.0367984681947472,-0.0395301953275128,-0.0314188904659637,-0.0258589936697249,0.0325985688292456,-0.0157816179249936,0.0,0.0,0.0,0.0021157912840204,0.0021157912840204,0.0,0.0021157912840204,0.0
pancreas,KP4,PD_06,-0.0027831753640899,0.0027831753640899,0.0064623330708787,0.0027831753640899,0.018579847371169,0.0155714776029116,0.0120286837990585,-0.0104505103909505,0.0027831753640899,0.0072812627402067,0.0055663507281798,0.0027831753640899,0.0055663507281798,0.0027831753640899,-0.0312555950690343,0.0104505103909505,-0.0011406962860583,-0.0224484190779224,-0.0122651359898402,-0.0285977273256649,-0.0104505103909505,0.0314900267279951,0.021677485485529,-0.01308214802392,0.0313326369227474,-0.0200992766386911,0.0146583905479824,0.0146583905479824,0.0057413826396012,0.0136567370199821,-0.0101750146244743,0.0104505103909505,0.0104505103909505,-0.0245977770389467,0.0078807406754223,0.0226078918564721,0.000745374109964,-0.030757402579371,0.0347312665756899,0.0222652773631558,0.0327283271607586,-0.0064623330708787,0.0319068265528088,0.0249468003283584,0.0064623330708787,-0.0275321891801367,0.0265877066293246,-0.0304083396859959,-0.039227062153534,-0.0379068975046157,-0.0414073297611516,-0.0317523692737405,-0.0218717119996547,0.0347312665756899,-0.018579847371169,0.0,0.0,0.0,0.0027831753640899,0.0027831753640899,0.0,0.0027831753640899,0.0
pancreas,KP4,PD_06_PD_10,-0.0044960040012124,0.0044960040012124,-0.0044960040012124,0.0044960040012124,0.0074461022475919,0.0021754206644868,0.0084460121517178,0.0082064388303703,0.0104880960678595,0.0133817101657422,0.0089920080024248,0.0104880960678595,0.0104393980051411,0.0044960040012124,0.0385557591693117,-0.0089399470943199,0.0054981350252269,0.0024566796750886,-0.0062898503488399,0.0318191863071549,0.0082064388303703,0.0236087300125303,0.0138868661513683,0.0117089093501978,0.0234639796876833,-0.0101134486964722,-0.0175149048428997,-0.0176657414482409,-0.0014788333475619,-0.0132878602092521,0.0080873031379882,-0.0096855354886455,-0.0089399470943199,0.0277726325383411,-0.0098233094960897,0.0105265050165024,-0.0018274908544217,-0.0241097349602387,0.0287517929724236,-0.0254460521528732,-0.0222604313941124,0.0071259977450139,0.0236726206980164,-0.0255729726704505,-0.0044960040012124,0.0342772671033794,-0.020549439409602,0.0197469547098271,0.0279713142398332,0.034537235312827,0.0364008052620381,0.0395201126571026,0.0219834367934822,0.0287517929724236,-0.0074461022475919,-0.0017183927735918,0.0,0.0,0.0044960040012124,0.0044960040012124,0.0,0.0044960040012124,0.0
pancreas,KP4,PD_10,0.0059502560220489,0.0020288500044501,-0.0020288500044501,0.0020288500044501,0.0161315326209643,0.0117335026220847,0.008339745747442,-0.0078815294367653,0.0020288500044501,0.0053275152181884,0.0040577000089003,0.0020288500044501,0.0047108438256452,0.0020288500044501,-0.030883239201502,0.0078815294367653,-0.0180302444646043,-0.0190361626528954,-0.0209441327732641,-0.0287355132296526,-0.0078815294367653,0.0297974811499259,0.0286936180068159,-0.0098094280508187,0.0293508934607116,-0.0161315326209643,0.0122297842409036,0.0122297842409036,0.0181692838032953,0.0104211929300814,-0.0185500535592038,0.0089673792185598,0.0078815294367653,-0.0258061696760229,0.0193392486258336,0.0303228702604288,0.0161315326209643,-0.0295578633781707,0.0328874947242743,0.0253162767474933,0.0323591053804718,-0.0059502560220489,0.0293981984388186,0.0263155911379324,-0.0020288500044501,-0.0289570775610999,0.0298554371500488,-0.0299092072974806,-0.0369935140600578,-0.035948833144932,-0.0385481113063563,-0.0312914966667997,-0.0260472509945848,0.0328874947242743,-0.0161315326209643,0.0,0.0,0.0,0.0020288500044501,0.0020288500044501,0.0,0.0020288500044501,0.0
pancreas,MIAPACA2,PD_06,-0.005405623973784,0.002228834776026,0.004835650268006,0.002228834776026,0.0158551816693449,0.0118589939174656,0.0092933198200581,-0.0079619183299425,-0.0061365482471918,0.0054284806358597,0.004457669552052,-0.0061365482471918,0.0036871046053867,0.002228834776026,-0.0309820776441687,0.0079619183299425,-0.0150751793417036,-0.0183159791167296,-0.0198079621738646,-0.0286441444622476,-0.0079619183299425,0.029752296114668,0.028729966238297,-0.0100397370928345,0.0295371779855532,-0.0160108951774485,0.0112910410801109,0.0112910410801109,0.0153256434923898,0.0104905001348379,-0.0166243586724107,0.0079619183299425,0.0079619183299425,-0.0250981891040756,0.0178601204581067,0.03054829230317,0.0070346031155034,-0.0294614349601543,0.0333886027931987,0.024986366311902,0.0323886159150725,-0.004835650268006,0.0296292711275392,0.0260522637005813,0.004835650268006,-0.0288465519603331,0.0270718097241597,-0.0304732522638524,-0.0378630115181376,-0.0368144396576132,-0.039615765003242,-0.0314466214628745,-0.025736063547451,0.0333886027931987,-0.0158551816693449,0.0,0.0,0.0,0.002228834776026,0.002228834776026,0.0,0.002228834776026,0.0
pancreas,MIAPACA2,PD_06_PD_10,-0.0053091133013054,0.0043800726966033,-0.0043800726966033,0.0043800726966033,0.0082025775932608,0.0050488893744893,0.008386341239783,0.007182565766525,0.0083937439164975,0.0123425047262386,0.0087601453932066,0.0083937439164975,0.0101702138518923,0.0043800726966033,0.0192037384199377,-0.0073835822427629,-0.0043037118212181,0.0051021995534593,-0.0156526273766006,0.0166862890279848,0.007182565766525,0.0243623331250383,0.0260816647935681,0.0104380636280113,0.0276441785707928,-0.0108028945644378,-0.0162047816622555,-0.0163077565893996,0.0047782689738873,-0.0115206693658553,-0.0001768690555184,-0.0081331969568713,-0.0073835822427629,0.0157745229894157,0.0057387999401754,0.0178695714323006,0.002967071264527,-0.0282693812266076,0.0348277112857616,-0.0138575579773111,-0.0006006848435198,0.0075823415727413,0.0277497312257831,-0.012356797885598,-0.0043800726966033,0.0198083527123164,-0.0010576319405874,-1.1658766832962212e-05,0.0027866422789866,0.0189946505324329,0.0191616342750859,0.019834828288514,0.0124242994885274,0.0348277112857616,-0.0082025775932608,-0.0019429722652976,0.0,0.0,0.0043800726966033,0.0043800726966033,0.0,0.0043800726966033,0.0
pancreas,MIAPACA2,PD_10,0.0051434998446367,0.0021157912840204,-0.0021157912840204,0.0021157912840204,0.0157816179249936,0.0112755810973842,0.0080508674388631,-0.0074443965312036,-0.0054408284598996,0.0051214887459104,0.0042315825680408,-0.0054408284598996,0.0049127152252847,0.0021157912840204,-0.0309947858263712,0.0074443965312036,-0.0177470632652467,-0.0189214901831383,-0.0202916570154394,-0.0288044750974481,-0.0074443965312036,0.029129031483978,0.0281300277917556,-0.0094227031850015,0.0288538833168978,-0.0157987192269099,0.0116692679976087,0.011663919851618,0.0178823151733566,0.0100470280833619,-0.0178850644468993,0.0085445704614857,0.0074443965312036,-0.0256713077690914,0.019126712699405,0.0299901748639663,0.0157631059913886,-0.0291264095991785,0.0325985688292456,0.0251758013850121,0.0330942694590831,-0.0049033227489688,0.0289172485914134,0.0262375288202753,-0.0021157912840204,-0.0289360395621137,0.0304809346682053,-0.0305333922049383,-0.0379198072627303,-0.0367984681947472,-0.0395301953275128,-0.0314188904659637,-0.0258589936697249,0.0325985688292456,-0.0157816179249936,0.0,0.0,0.0,0.0021157912840204,0.0021157912840204,0.0,0.0021157912840204,0.0
pancreas,PANC0203,PD_06,-0.0021648496706712,0.0021648496706712,0.0050266252715391,0.0021648496706712,0.0158849305522903,0.0120880772563617,0.0093563246128815,-0.008128766972466,0.0021648496706712,0.0060524688567293,0.0043296993413424,0.0021648496706712,0.0043296993413424,0.0021648496706712,-0.0309300149987045,0.008128766972466,-0.0150910695457466,-0.0182771501036553,-0.0203920579520342,-0.0284342719092753,-0.008128766972466,0.030360386412095,0.0294166603512601,-0.0101757453758276,0.0302959513054673,-0.0160370100308725,0.0114018011081189,0.0114018011081189,0.016717980928027,0.0106226804899227,-0.0166029032423496,0.008128766972466,0.008128766972466,-0.0255113687060956,0.0178134999246375,0.0313454172704169,0.0083805180740991,-0.030130478027161,0.0340006687361016,0.0252452204763544,0.0328295777374941,-0.0050266252715391,0.0303594839134004,0.026598363159714,0.0050266252715391,-0.0290625954759181,0.0306648794558963,-0.0307025748001874,-0.0380280842027373,-0.0366695194251058,-0.0395950919785256,-0.0313997513718072,-0.026014655778809,0.0340006687361016,-0.0158849305522903,0.0,0.0,0.0,0.0021648496706712,0.0021648496706712,0.0,0.0021648496706712,0.0
